run_id,source,categorical.len,cmd,coef.len,coef.max,coef.mean,coef.min,config.log_target,config.model_type,config.n_categorical,config.n_features_input,config.n_numeric,config.n_rows,config_path,created_utc,dataset.features.len,dataset.max_odometer,dataset.max_price,dataset.max_year,dataset.min_price,dataset.min_year,dataset.path,dataset.sample_n,dataset.target,extra.n_rows_clean,feature_names_out.len,git_head_sha,intercept,model.alpha,model.l2_regularization,model.learning_rate,model.max_iter,model.max_leaf_nodes,model.min_samples_leaf,model.seed,model.type,name,numeric.len,preprocess.categorical_encoder,preprocess.onehot_min_frequency,preprocess.standardize_numeric,preprocess.text.columns.len,preprocess.text.max_df,preprocess.text.max_features,preprocess.text.min_df,preprocess.text.ngram_range.len,preprocess.text.ngram_range.max,preprocess.text.ngram_range.mean,preprocess.text.ngram_range.min,split.seed,split.test_size,test.mae,test.r2,test.rmse,train.log_target,train.mae,train.r2,train.rmse
runs/20260225_154004__ols/coefficients.json,runs/20260225_154004__ols/coefficients.json,,,965,1.2772037921445651,-0.00035809120581431193,-1.25174912024316,,,,,,,,,,,,,,,,,,,965,,9.042810354334488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runs/20260225_154004__ols/config.json,runs/20260225_154004__ols/config.json,,,,,,,,,,,,,,,17,500000,200000,2026,100,1970,data/craigslist/vehicles.csv,200000,price,,,,,,,,,,,,ols,,,,50,True,,,,,,,,,441,0.2,,,,True,,,
runs/20260225_154004__ols/features.json,runs/20260225_154004__ols/features.json,13,,,,,,,,,,,,,,,,,,,,,,,,965,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
ols,runs/20260225_154004__ols/meta.json,,/data/private/user2/workspace/backup/303/DSCI441-Used-Car-Price-Prediction-System/.venv/bin/python /data/private/user2/workspace/backup/303/DSCI441-Used-Car-Price-Prediction-System/train.py --config /data/private/user2/workspace/backup/303/DSCI441-Used-Car-Price-Prediction-System/configs/baseline_ols.json --run-name ols,,,,,,,,,,,/data/private/user2/workspace/backup/303/DSCI441-Used-Car-Price-Prediction-System/runs/20260225_154004__ols/config.json,2026-02-25T15:40:04Z,,,,,,,,,,179549,,aa8ebba09f56709193283600b77ec5f6ed5b350b,,,,,,,,,,ols,,,,,,,,,,,,,,,,,,,,,
runs/20260225_154026__ridge/coefficients.json,runs/20260225_154026__ridge/coefficients.json,,,965,1.1791193265867725,-0.00035495205336667443,-1.2025154699133056,,,,,,,,,,,,,,,,,,,965,,9.056669407895514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runs/20260225_154026__ridge/config.json,runs/20260225_154026__ridge/config.json,,,,,,,,,,,,,,,17,500000,200000,2026,100,1970,data/craigslist/vehicles.csv,200000,price,,,,,5.0,,,,,,,ridge,,,,50,True,,,,,,,,,441,0.2,,,,True,,,
runs/20260225_154026__ridge/features.json,runs/20260225_154026__ridge/features.json,13,,,,,,,,,,,,,,,,,,,,,,,,965,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
ridge,runs/20260225_154026__ridge/meta.json,,/data/private/user2/workspace/backup/303/DSCI441-Used-Car-Price-Prediction-System/.venv/bin/python /data/private/user2/workspace/backup/303/DSCI441-Used-Car-Price-Prediction-System/train.py --config /data/private/user2/workspace/backup/303/DSCI441-Used-Car-Price-Prediction-System/configs/ridge.json --run-name ridge,,,,,,,,,,,/data/private/user2/workspace/backup/303/DSCI441-Used-Car-Price-Prediction-System/runs/20260225_154026__ridge/config.json,2026-02-25T15:40:26Z,,,,,,,,,,179549,,aa8ebba09f56709193283600b77ec5f6ed5b350b,,,,,,,,,,ridge,,,,,,,,,,,,,,,,,,,,,
runs/20260225_154050__lasso/coefficients.json,runs/20260225_154050__lasso/coefficients.json,,,965,0.7206853620252897,-0.006754239421682561,-0.7010012473224957,,,,,,,,,,,,,,,,,,,965,,9.461805291406531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runs/20260225_154050__lasso/config.json,runs/20260225_154050__lasso/config.json,,,,,,,,,,,,,,,17,500000,200000,2026,100,1970,data/craigslist/vehicles.csv,200000,price,,,,,0.0005,,,5000,,,,lasso,,,,50,True,,,,,,,,,441,0.2,,,,True,,,
runs/20260225_154050__lasso/features.json,runs/20260225_154050__lasso/features.json,13,,,,,,,,,,,,,,,,,,,,,,,,965,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
lasso,runs/20260225_154050__lasso/meta.json,,/data/private/user2/workspace/backup/303/DSCI441-Used-Car-Price-Prediction-System/.venv/bin/python /data/private/user2/workspace/backup/303/DSCI441-Used-Car-Price-Prediction-System/train.py --config /data/private/user2/workspace/backup/303/DSCI441-Used-Car-Price-Prediction-System/configs/lasso.json --run-name lasso,,,,,,,,,,,/data/private/user2/workspace/backup/303/DSCI441-Used-Car-Price-Prediction-System/runs/20260225_154050__lasso/config.json,2026-02-25T15:40:50Z,,,,,,,,,,179549,,aa8ebba09f56709193283600b77ec5f6ed5b350b,,,,,,,,,,lasso,,,,,,,,,,,,,,,,,,,,,
runs/20260225_154825__ridge-text-a20/config.json,runs/20260225_154825__ridge-text-a20/config.json,,,,,,,,,,,,,,,18,500000,200000,2026,100,1970,data/craigslist/vehicles.csv,120000,price,,,,,20.0,,,,,,,ridge,,,,50,True,1,0.98,8000,3,2,2,1.5,1,441,0.2,,,,True,,,
ridge-text-a20,runs/20260225_154825__ridge-text-a20/meta.json,,/data/private/user2/workspace/backup/303/DSCI441-Used-Car-Price-Prediction-System/.venv/bin/python train.py --config configs/ridge_text_alpha20.json --run-name ridge-text-a20,,,,,,,,,,,/data/private/user2/workspace/backup/303/DSCI441-Used-Car-Price-Prediction-System/runs/20260225_154825__ridge-text-a20/config.json,2026-02-25T15:48:25Z,,,,,,,,,,107726,,d47ac6680748087003c00c3e9082c17ea9ed6439,,,,,,,,,,ridge-text-a20,,,,,,,,,,,,,,,,,,,,,
runs/20260225_155132__ridge-text-a20/coefficients.json,runs/20260225_155132__ridge-text-a20/coefficients.json,,,8724,0.7526923747247919,0.012721563240905379,-2.7445471397388745,,,,,,,,,,,,,,,,,,,,,8.854546099648129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runs/20260225_155132__ridge-text-a20/config.json,runs/20260225_155132__ridge-text-a20/config.json,,,,,,,,,,,,,,,18,500000,200000,2026,100,1970,data/craigslist/vehicles.csv,120000,price,,,,,20.0,,,,,,,ridge,,,,50,True,1,0.98,8000,3,2,2,1.5,1,441,0.2,,,,True,,,
runs/20260225_155132__ridge-text-a20/features.json,runs/20260225_155132__ridge-text-a20/features.json,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
ridge-text-a20,runs/20260225_155132__ridge-text-a20/meta.json,,/data/private/user2/workspace/backup/303/DSCI441-Used-Car-Price-Prediction-System/.venv/bin/python train.py --config configs/ridge_text_alpha20.json --run-name ridge-text-a20,,,,,,,,,,,/data/private/user2/workspace/backup/303/DSCI441-Used-Car-Price-Prediction-System/runs/20260225_155132__ridge-text-a20/config.json,2026-02-25T15:51:32Z,,,,,,,,,,107726,,d47ac6680748087003c00c3e9082c17ea9ed6439,,,,,,,,,,ridge-text-a20,,,,,,,,,,,,,,,,,,,,,
runs/20260225_155344__hgb-ordinal/config.json,runs/20260225_155344__hgb-ordinal/config.json,,,,,,,,,,,,,,,17,500000,200000,2026,100,1970,data/craigslist/vehicles.csv,250000,price,,,,,,0.0,0.06,600,127,30,441,hgb,,,ordinal,,False,,,,,,,,,441,0.2,,,,True,,,
runs/20260225_155344__hgb-ordinal/features.json,runs/20260225_155344__hgb-ordinal/features.json,13,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
hgb-ordinal,runs/20260225_155344__hgb-ordinal/meta.json,,/data/private/user2/workspace/backup/303/DSCI441-Used-Car-Price-Prediction-System/.venv/bin/python train.py --config configs/hgb_ordinal.json --run-name hgb-ordinal,,,,,,,,,,,/data/private/user2/workspace/backup/303/DSCI441-Used-Car-Price-Prediction-System/runs/20260225_155344__hgb-ordinal/config.json,2026-02-25T15:53:44Z,,,,,,,,,,224496,,d47ac6680748087003c00c3e9082c17ea9ed6439,,,,,,,,,,hgb-ordinal,,,,,,,,,,,,,,,,,,,,,
