feature,importance_mean,importance_std
size,-0.002164707819576339,0.0012271037318909092
state,-0.006650868424910916,0.0016733561772691835
paint_color,-0.006766380739416799,0.005397235863084212
title_status,-0.0069003460214207115,0.0018555331227108013
region,-0.016908098872437848,0.0016918637891624266
fuel,-0.025830458568474858,0.0036367150585179813
cylinders,-0.03537966968907846,0.005396713636562705
drive,-0.05008018611722927,0.0026326996484045792
miles_per_year,-0.05630057092764482,0.003032968023788536
car_age,-0.05732586959369419,0.0017616017684536128
condition,-0.05783487206613893,0.0079367338110055
manufacturer,-0.06276075723862391,0.0058083664081662175
lat,-0.06901275009364465,0.0060785546248340715
transmission,-0.0753871623613985,0.0036279352462971165
type,-0.07808959936998398,0.00607939314619401
long,-0.07940099050911069,0.006023044967313587
model,-0.10542529839145946,0.010120960520424683
year,-0.1647475522566994,0.010216201067525472
odometer,-0.19790170299542717,0.005795711288932301
