feature,importance_mean,importance_std
size,-0.004630939708410775,0.0017932243265056222
title_status,-0.007756276128403572,0.0026547789200765115
fuel,-0.011347415497025093,0.002839697064781968
car_age,-0.03009123501315609,0.0012328296960329923
drive,-0.030915880975343014,0.00804216903282716
paint_color,-0.03138779754569208,0.006590480999551899
region,-0.03445825717648825,0.003980101804029965
lat,-0.041755509422412504,0.017382604953147363
miles_per_year,-0.04367119852826229,0.004867040404223292
cylinders,-0.04503185209409111,0.004007959433664535
state,-0.04658103820448538,0.0024529407213831375
long,-0.05688663750949141,0.006778738200802764
transmission,-0.05765892534804964,0.0044674355824880765
type,-0.058739346968524585,0.004259733228978744
manufacturer,-0.07502337656076623,0.005986121677406159
condition,-0.07966041008516389,0.005407935184758165
model,-0.09437813892885605,0.006324968506767431
odometer,-0.1748509592015785,0.010097382087960315
year,-0.1775606551673849,0.017135956915803045
